41.041: [GC 49699K->45985K(65088K), 0.0022844 secs]
41.970: [GC 50081K->46441K(65088K), 0.0052688 secs]
42.087: [GC 50537K->46428K(65088K), 0.0032102 secs]
42.212: [GC 50524K->46410K(65088K), 0.0007993 secs]
42.366: [GC 50506K->46472K(65088K), 0.0014823 secs]
42.525: [GC 50568K->46426K(65088K), 0.0010107 secs]
42.653: [GC 50522K->46488K(65088K), 0.0014312 secs]
42.874: [GC 50584K->46574K(65088K), 0.0024741 secs]
43.024: [GC 50670K->46722K(65088K), 0.0028386 secs]
44.379: [GC 50818K->47133K(65088K), 0.0045218 secs]
44.511: [GC 51229K->47626K(65088K), 0.0043318 secs]
45.318: [GC 51718K->47661K(65088K), 0.0033803 secs]
46.180: [GC 51757K->47661K(65088K), 0.0030272 secs]
46.846: [GC 51757K->47689K(65088K), 0.0031440 secs]
48.014: [GC 51785K->47876K(65088K), 0.0037918 secs]
52.326: [Full GC 51120K->44657K(65088K), 0.4339711 secs]
53.215: [Full GC 45838K->45523K(65088K), 0.3429668 secs]
53.676: [GC 49615K->46932K(65088K), 0.0107600 secs]
53.736: [GC 51028K->49844K(65088K), 0.0314923 secs]
53.775: [GC 53940K->53939K(65088K), 0.0390471 secs]
53.821: [GC 58035K->58033K(65088K), 0.0396576 secs]
53.868: [Full GC 62129K->62128K(65088K), 0.4422875 secs]
54.416: [Full GC 65087K->62871K(65088K), 0.4333970 secs]
54.941: [Full GC 65087K->61609K(65088K), 0.5261049 secs]
55.520: [Full GC 65084K->61764K(65088K), 0.4357367 secs]
56.046: [Full GC 65087K->62112K(65088K), 0.4366471 secs]
57.409: [Full GC 65087K->62295K(65088K), 0.4685129 secs]
58.821: [Full GC 65087K->62232K(65088K), 0.5589881 secs]
59.495: [Full GC 65087K->62260K(65088K), 0.4686861 secs]
60.096: [Full GC 65087K->62213K(65088K), 0.4725478 secs]
62.064: [Full GC 65088K->62357K(65088K), 0.6600881 secs]
62.968: [Full GC 65087K->62314K(65088K), 0.7239842 secs]
63.843: [Full GC 65087K->62338K(65088K), 0.6656916 secs]
64.676: [Full GC 65087K->62399K(65088K), 0.6690356 secs]
65.496: [Full GC 65088K->62382K(65088K), 0.6589164 secs]
66.347: [Full GC 65087K->62339K(65088K), 0.8489761 secs]
86.438: [Full GC 64656K->62362K(65088K), 0.4370167 secs]
87.564: [Full GC 64643K->63225K(65088K), 0.4491342 secs]
88.092: [Full GC 65087K->63906K(65088K), 0.4519957 secs]
88.608: [Full GC 65084K->64329K(65088K), 0.5900038 secs]
89.221: [Full GC 65067K->64440K(65088K), 0.4475787 secs]
89.684: [Full GC 65087K->64476K(65088K), 0.4480474 secs]
90.162: [Full GC 65087K->64846K(65088K), 0.4507347 secs]
90.613: [Full GC 64846K->64833K(65088K), 0.4491641 secs]
